pauc,pinn,levi,cram,alut,ento,rube,auro,rufu,mela,omus,ctus,myst,auri,guta,good,nebu,caur,diac,carn,chlo,elon,alti,zace,jord,dipl,cons,saxi,mini,flav
-0.08902827195,-0.01135762411,-0.01698579115,0.08596891673,0.00799669534,0.05149825914,0.05178224671,-0.00228218652,-0.02809899943,0.03880781499,-0.03946253463,0.01020756138,-0.03547714411,-0.13224795194,-0.27953739566,-0.15127858657,0.02691688265,0.00318461821,-0.01321279864,-0.07776641460,-0.05272113188,0.14342967360,-0.43312568256,0.03816416746,-0.10655251259,0.09702562669,-0.05942119485,0.02312896231,-0.03027851961,0.04877612339
-0.11920270077,-0.01142552141,-0.01546228389,0.23847208491,0.03209896659,0.05758861261,-0.00786546326,0.19240844462,-0.02554446936,-0.05230071893,-0.02119481492,0.06422614805,-0.03671509830,-0.16514065304,-0.27953739566,-0.11377224896,-0.10128794400,-0.11980050934,-0.06335239680,-0.07346289772,-0.05312973987,0.20686594913,-0.40497015630,0.20612310199,-0.09852439036,0.43335946682,-0.05970955406,0.13479214456,-0.06986085874,-0.02036936602
-0.11920270077,-0.01142552141,-0.01546228389,0.23847208491,0.03209896659,0.05758861261,-0.00786546326,0.19240844462,-0.02554446936,-0.05230071893,-0.02119481492,0.06422614805,-0.03671509830,-0.16514065304,-0.27953739566,-0.11377224896,-0.10128794400,-0.11980050934,-0.06335239680,-0.07346289772,-0.05312973987,0.20686594913,-0.40497015630,0.20612310199,-0.09852439036,0.43335946682,-0.05970955406,0.13479214456,-0.06986085874,-0.02036936602
-0.11920270077,-0.01142552141,-0.01546228389,0.23847208491,0.03209896659,0.05758861261,-0.00786546326,0.19240844462,-0.02554446936,-0.05230071893,-0.02119481492,0.06422614805,-0.03671509830,-0.16514065304,-0.27953739566,-0.11377224896,-0.10128794400,-0.11980050934,-0.06335239680,-0.07346289772,-0.05312973987,0.20686594913,-0.40497015630,0.20612310199,-0.09852439036,0.43335946682,-0.05970955406,0.13479214456,-0.06986085874,-0.02036936602
0.05368051942,0.01579661265,0.02142815600,0.13417262530,0.01228164469,0.01249887239,-0.01485232146,0.09047775780,0.03609128240,-0.05581543214,-0.00851430210,0.02026839872,-0.02711026192,0.04333440791,-0.01605675782,0.18318792414,-0.10356273850,-0.06789772773,-0.05635356932,-0.01476672576,0.05221689888,0.05517390842,-0.40962018362,0.10170200421,0.10720133506,0.27364008139,0.01088988786,0.09702803356,-0.00117895361,-0.01941900890
0.06659376358,0.01873549986,0.02478658097,0.14089014051,0.01369800163,0.01556705806,-0.00912726647,0.06272418959,0.03566012930,-0.05550713783,-0.01919478597,0.01689175366,-0.02712353142,0.04671793321,-0.01624774720,0.17981766644,-0.10334308069,-0.06464007921,-0.05635214406,-0.01402396209,0.05584584082,0.06502273445,-0.45838549228,0.10609203275,0.12117887234,0.27536235065,0.01086659247,0.10167033679,0.00375871105,-0.01389198905
0.04120232635,0.01216362340,0.02108026689,0.14761082419,0.01394146553,0.01373300505,-0.01978636715,0.10751927842,0.03186595604,-0.05647016526,-0.00908879113,0.02649882439,-0.02674382653,0.03293245050,-0.01422652278,0.17530253730,-0.11346664501,-0.07384640756,-0.05671169132,-0.00864646269,0.04826735191,0.06156001530,-0.43051234113,0.10712048881,0.10509169373,0.30488154144,0.01311075858,0.09825155723,-0.00757928914,-0.02442473597
0.04120232635,0.01216362340,0.02108026689,0.14761082419,0.01394146553,0.01373300505,-0.01978636715,0.10751927842,0.03186595604,-0.05647016526,-0.00908879113,0.02649882439,-0.02674382653,0.03293245050,-0.01422652278,0.17530253730,-0.11346664501,-0.07384640756,-0.05671169132,-0.00864646269,0.04826735191,0.06156001530,-0.43051234113,0.10712048881,0.10509169373,0.30488154144,0.01311075858,0.09825155723,-0.00757928914,-0.02442473597
-0.00208857664,0.00252640118,0.00979517821,0.14674911969,0.00619599724,0.05573158898,0.05848580526,-0.00028808421,0.01957525299,-0.02608917958,-0.01969616131,-0.00549151331,-0.03125185454,-0.05043141175,-0.02395782959,0.03786386850,-0.07447845219,-0.04246791020,-0.05912740314,-0.01705339469,0.00375979176,0.15039751549,-0.49586915546,0.06756800604,0.03334346967,0.13380818170,0.01004285827,0.07187180957,-0.00979209591,0.05181434950
-0.00208857664,0.00252640118,0.00979517821,0.14674911969,0.00619599724,0.05573158898,0.05848580526,-0.00028808421,0.01957525299,-0.02608917958,-0.01969616131,-0.00549151331,-0.03125185454,-0.05043141175,-0.02395782959,0.03786386850,-0.07447845219,-0.04246791020,-0.05912740314,-0.01705339469,0.00375979176,0.15039751549,-0.49586915546,0.06756800604,0.03334346967,0.13380818170,0.01004285827,0.07187180957,-0.00979209591,0.05181434950
0.02342261514,0.00771122139,0.01860987825,0.17903344021,0.00938181385,0.05048885136,0.01898081150,0.04368453378,0.03234310062,-0.05184295878,-0.00852381357,-0.00116785075,-0.02831696430,-0.01850869609,-0.02395782959,0.11006944839,-0.11325048651,-0.07419073229,-0.06045797333,-0.00890878385,0.02474250782,0.14231331657,-0.49482234133,0.10401257687,0.09295392864,0.23790446340,0.01032231361,0.11073176913,-0.01387579930,0.01278194140
0.02342261514,0.00771122139,0.01860987825,0.17903344021,0.00938181385,0.05048885136,0.01898081150,0.04368453378,0.03234310062,-0.05184295878,-0.00852381357,-0.00116785075,-0.02831696430,-0.01850869609,-0.02395782959,0.11006944839,-0.11325048651,-0.07419073229,-0.06045797333,-0.00890878385,0.02474250782,0.14231331657,-0.49482234133,0.10401257687,0.09295392864,0.23790446340,0.01032231361,0.11073176913,-0.01387579930,0.01278194140
-0.00872491638,0.00346467115,0.00877854793,0.15213814772,0.00681415252,0.06213746350,0.06828936248,0.00033122841,0.02268530638,-0.02396562952,-0.02179960376,-0.00486600343,-0.03100239034,-0.06129757482,-0.03615119146,0.02357943955,-0.07076659768,-0.04225643464,-0.05912740314,-0.02024375697,-0.00526999263,0.16579079493,-0.50579751000,0.07656749334,0.02627355028,0.13313458790,0.00213426054,0.08078329720,-0.01183146720,0.06117490799
-0.00872491638,0.00346467115,0.00877854793,0.15213814772,0.00681415252,0.06213746350,0.06828936248,0.00033122841,0.02268530638,-0.02396562952,-0.02179960376,-0.00486600343,-0.03100239034,-0.06129757482,-0.03615119146,0.02357943955,-0.07076659768,-0.04225643464,-0.05912740314,-0.02024375697,-0.00526999263,0.16579079493,-0.50579751000,0.07656749334,0.02627355028,0.13313458790,0.00213426054,0.08078329720,-0.01183146720,0.06117490799
0.01372771730,0.00990143766,0.00138442853,0.04194277171,0.00209382272,0.02363959018,0.02757996762,-0.02067461145,0.01461265753,0.00593605389,-0.02943490854,-0.00819782014,0.00225045611,-0.00699770844,-0.00585490022,-0.01881628095,0.00363785966,0.01015129782,-0.00001171082,0.00135164879,-0.00965242793,0.06526810845,-0.50790205660,0.02083442457,0.02100532563,0.09636960586,-0.01393279736,0.01899568527,0.00757520667,0.02729034354
0.01651234224,0.01046926798,0.00180728054,0.03939681918,0.00181205296,0.02486933778,0.03033663581,-0.03559222563,0.01354946913,0.00732334305,-0.03171997485,-0.01022958005,0.00222061998,-0.00618238111,-0.00569659234,-0.02116729957,0.00364892008,0.01301287995,-0.00004105322,0.00135184707,-0.00884931362,0.06717499204,-0.50923031720,0.01833863685,0.01984999838,0.07586434095,-0.01354449905,0.01856251718,0.00929336618,0.02996290941
-0.00034260183,0.00089617108,0.02953438372,0.24298818582,0.01474351423,0.08983228183,0.04990459664,0.02216019738,0.02520333175,-0.05013321975,-0.02154011875,0.00082928220,-0.03604182276,-0.09347951370,-0.23885789003,0.04703843480,-0.12396203339,-0.09505132639,-0.06362250345,-0.08426631897,0.01559473484,0.24662413818,-0.52058561305,0.16834983416,0.12371067487,0.24546357531,-0.00452142041,0.18474902399,-0.03737508056,0.04127445143
0.00021258134,0.00088576910,0.02983319651,0.24314054388,0.01472799009,0.08972981759,0.04980321144,0.02191550207,0.02518594025,-0.05014507521,-0.02148842938,0.00081201634,-0.03604322057,-0.09326653907,-0.23905109238,0.04752849957,-0.12397163514,-0.09502925971,-0.06362250345,-0.08424308379,0.01610377611,0.24636530061,-0.52062357442,0.16815875874,0.12403774614,0.24513684578,-0.00445423345,0.18456430788,-0.03730191771,0.04118618261
-0.01644765628,-0.00205329928,0.01931814281,0.21463977967,0.00986026840,0.09563237860,0.08341401828,-0.01175461084,0.01630615853,-0.03075921933,-0.02820168806,-0.00389161903,-0.03633942321,-0.10115553173,-0.23899304558,0.00219311735,-0.09853288365,-0.06323889612,-0.06125332898,-0.08534217860,-0.00015853822,0.25320612496,-0.52100510785,0.11682458605,0.06548000183,0.14765565116,-0.00465027105,0.13400611929,-0.02786623580,0.07472427247
-0.01644765628,-0.00205329928,0.01931814281,0.21463977967,0.00986026840,0.09563237860,0.08341401828,-0.01175461084,0.01630615853,-0.03075921933,-0.02820168806,-0.00389161903,-0.03633942321,-0.10115553173,-0.23899304558,0.00219311735,-0.09853288365,-0.06323889612,-0.06125332898,-0.08534217860,-0.00015853822,0.25320612496,-0.52100510785,0.11682458605,0.06548000183,0.14765565116,-0.00465027105,0.13400611929,-0.02786623580,0.07472427247
-0.01239993178,-0.00679710961,0.01220250862,0.18949223719,0.00763145846,0.10397211408,0.09328650744,-0.04917236346,0.01220452918,-0.02693841079,-0.03259994362,-0.01356116921,-0.02962072512,-0.08652066592,-0.02236694995,-0.02087677536,-0.09949267037,-0.04397706381,-0.05951924940,-0.00782975402,-0.00581295212,0.26787491730,-0.53301439729,0.09997193398,0.03033388895,0.09916617125,0.01913814460,0.12140758504,-0.01810620770,0.08426813431
-0.01239993178,-0.00679710961,0.01220250862,0.18949223719,0.00763145846,0.10397211408,0.09328650744,-0.04917236346,0.01220452918,-0.02693841079,-0.03259994362,-0.01356116921,-0.02962072512,-0.08652066592,-0.02236694995,-0.02087677536,-0.09949267037,-0.04397706381,-0.05951924940,-0.00782975402,-0.00581295212,0.26787491730,-0.53301439729,0.09997193398,0.03033388895,0.09916617125,0.01913814460,0.12140758504,-0.01810620770,0.08426813431
0.01025284633,-0.00499220417,0.02304436346,0.21296707328,0.01240902029,0.10039469874,0.05776343174,-0.02219576245,0.02191877115,-0.04821085261,-0.02599688756,-0.01185449272,-0.02461657562,-0.07139047750,-0.02236694995,0.02101891232,-0.11565108351,-0.07347887602,-0.06038050072,-0.00724928400,0.01189806493,0.26546988260,-0.53359635336,0.15444444742,0.09266544110,0.20240850528,0.01963750993,0.17800292458,-0.02506989696,0.04891720045
0.01025284633,-0.00499220417,0.02304436346,0.21296707328,0.01240902029,0.10039469874,0.05776343174,-0.02219576245,0.02191877115,-0.04821085261,-0.02599688756,-0.01185449272,-0.02461657562,-0.07139047750,-0.02236694995,0.02101891232,-0.11565108351,-0.07347887602,-0.06038050072,-0.00724928400,0.01189806493,0.26546988260,-0.53359635336,0.15444444742,0.09266544110,0.20240850528,0.01963750993,0.17800292458,-0.02506989696,0.04891720045
0.02244334711,0.00387410062,0.03733761317,0.23709856028,0.01147899918,0.10021556285,0.06774057774,-0.02625940803,0.03149777315,-0.04815604387,-0.02403439761,-0.01232727112,-0.03448342128,-0.08487020862,-0.23891522213,0.05835515169,-0.10890621282,-0.08768011753,-0.06095774238,-0.07174850960,0.02578416395,0.25938111702,-0.53425125335,0.15541405616,0.15629399789,0.17835627972,-0.00439623861,0.19951724488,-0.03014791976,0.05918237995
