Closure_ID,year,mean_pauc,mean_pinn,mean_cram,mean_alut,mean_ento,mean_rube,mean_auro,mean_good,mean_elon,mean_alti,mean_zace,mean_jord,mean_bore,mean_alas,mean_dipl,mean_saxi,mean_flav
2002-09,2002,73.852798090949,376.151947351596,459.263771382599,551.415309576185,98.720275807211,14.786916133844,11.268865294138,595.456626604515,457.431140389274,30.443178180974,1111.996588716890,14.795464427510,0.513624072991,206.433983096156,435.460419765667,217.242987472852,462.920727300971
2002-10,2002,134.812623998317,313.577083298537,1643.322648834720,1669.179399362280,103.495751829231,15.100163530199,39.673900539411,1181.877843051110,618.959683033970,119.971729709722,3088.065479563430,39.975782841043,1.667923881492,685.335064589535,1627.245863996640,586.085245313845,483.967612588533
2002-11,2002,134.812623998317,313.577083298537,1643.322648834720,1669.179399362280,103.495751829231,15.100163530199,39.673900539411,1181.877843051110,618.959683033970,119.971729709722,3088.065479563430,39.975782841043,1.667923881492,685.335064589535,1627.245863996640,586.085245313845,483.967612588533
2002-12,2002,134.812623998317,313.577083298537,1643.322648834720,1669.179399362280,103.495751829231,15.100163530199,39.673900539411,1181.877843051110,618.959683033970,119.971729709722,3088.065479563430,39.975782841043,1.667923881492,685.335064589535,1627.245863996640,586.085245313845,483.967612588533
2003-01,2003,213.554478877139,198.605317627962,565.226670082388,548.964312328529,78.869602191588,9.122071668241,29.146764819395,2046.689901131800,310.554834288752,93.547904822553,1024.504862641990,444.879901136898,0.759961432642,338.892068337511,967.907276608767,734.134432356113,305.293261972106
2003-02,2003,230.644777078812,217.175640177742,591.695097206120,606.781331869803,83.241743219324,9.964075212359,22.631326305621,2212.025205242530,338.770717981578,37.414363135454,1103.460472773790,490.289424354777,0.776768495673,313.129124270840,897.711091120334,785.033085861899,333.956775822788
2003-03,2003,215.042334807224,195.788960556359,789.781753365173,576.649808427065,81.088682449668,9.175964650922,29.042274478673,2065.079841114110,327.740170986956,61.345895523451,1129.630737827540,458.826915913411,0.851603168795,355.387556327495,1082.121728189050,747.925584938275,304.838814552810
2003-04,2003,215.042334807224,195.788960556359,789.781753365173,576.649808427065,81.088682449668,9.175964650922,29.042274478673,2065.079841114110,327.740170986956,61.345895523451,1129.630737827540,458.826915913411,0.851603168795,355.387556327495,1082.121728189050,747.925584938275,304.838814552810
2003-05,2003,180.400170466990,432.902625219918,357.595345192421,451.904195513738,102.567350257520,17.873308706022,16.694449005021,1652.007867397270,523.555655621860,24.955388495092,982.752589482741,334.165156133001,0.433593385526,166.627061844902,639.442560369518,567.637986642676,561.240186734198
2003-06,2003,180.400170466990,432.902625219918,357.595345192421,451.904195513738,102.567350257520,17.873308706022,16.694449005021,1652.007867397270,523.555655621860,24.955388495092,982.752589482741,334.165156133001,0.433593385526,166.627061844902,639.442560369518,567.637986642676,561.240186734198
2003-07,2003,221.901520217170,379.989196288079,467.146721734912,588.923321817709,96.387193326397,17.364685088245,21.941910767064,2085.456022411890,501.171392876718,33.963662745910,1283.871403941790,454.393009136773,0.525313039453,206.588730688267,853.805001952296,741.145864130313,531.448167011280
2003-08,2003,221.901520217170,379.989196288079,467.146721734912,588.923321817709,96.387193326397,17.364685088245,21.941910767064,2085.456022411890,501.171392876718,33.963662745910,1283.871403941790,454.393009136773,0.525313039453,206.588730688267,853.805001952296,741.145864130313,531.448167011280
